=================================================================================================
                                              Kernel Shape      Output Shape  \
241_l7.gcn1.convs.1.Conv2d_conv1           [128, 16, 1, 1]   [2, 16, 32, 25]   
242_l7.gcn1.convs.1.Conv2d_conv2           [128, 16, 1, 1]   [2, 16, 32, 25]   
243_l7.gcn1.convs.1.Conv2d_conv3          [128, 128, 1, 1]  [2, 128, 32, 25]   
244_l7.gcn1.convs.1.Softmax_softmax                      -      [32, 25, 25]   
245_l7.gcn1.convs.1.Tanh_tanh                            -   [2, 16, 25, 25]   
246_l7.gcn1.convs.1.Conv2d_conv4           [16, 128, 1, 1]  [2, 128, 25, 25]   
247_l7.gcn1.convs.2.Conv2d_conv1           [128, 16, 1, 1]   [2, 16, 32, 25]   
248_l7.gcn1.convs.2.Conv2d_conv2           [128, 16, 1, 1]   [2, 16, 32, 25]   
249_l7.gcn1.convs.2.Conv2d_conv3          [128, 128, 1, 1]  [2, 128, 32, 25]   
250_l7.gcn1.convs.2.Softmax_softmax                      -      [32, 25, 25]   
251_l7.gcn1.convs.2.Tanh_tanh                            -   [2, 16, 25, 25]   
252_l7.gcn1.convs.2.Conv2d_conv4           [16, 128, 1, 1]  [2, 128, 25, 25]   
253_l7.gcn1.BatchNorm2d_bn                           [128]  [2, 128, 32, 25]   
254_l7.gcn1.ReLU_relu                                    -  [2, 128, 32, 25]   
255_l7.tcn1.branches.0.Conv2d_0            [128, 32, 1, 1]   [2, 32, 32, 25]   
256_l7.tcn1.branches.0.BatchNorm2d_1                  [32]   [2, 32, 32, 25]   
257_l7.tcn1.branches.0.ReLU_2                            -   [2, 32, 32, 25]   
258_l7.tcn1.branches.0.3.Conv2d_conv        [32, 32, 5, 1]   [2, 32, 32, 25]   
259_l7.tcn1.branches.0.3.BatchNorm2d_bn               [32]   [2, 32, 32, 25]   
260_l7.tcn1.branches.1.Conv2d_0            [128, 32, 1, 1]   [2, 32, 32, 25]   
261_l7.tcn1.branches.1.BatchNorm2d_1                  [32]   [2, 32, 32, 25]   
262_l7.tcn1.branches.1.ReLU_2                            -   [2, 32, 32, 25]   
263_l7.tcn1.branches.1.3.Conv2d_conv        [32, 32, 5, 1]   [2, 32, 32, 25]   
264_l7.tcn1.branches.1.3.BatchNorm2d_bn               [32]   [2, 32, 32, 25]   
265_l7.tcn1.branches.2.Conv2d_0            [128, 32, 1, 1]   [2, 32, 32, 25]   
266_l7.tcn1.branches.2.BatchNorm2d_1                  [32]   [2, 32, 32, 25]   
267_l7.tcn1.branches.2.ReLU_2                            -   [2, 32, 32, 25]   
268_l7.tcn1.branches.2.MaxPool2d_3                       -   [2, 32, 32, 25]   
269_l7.tcn1.branches.2.BatchNorm2d_4                  [32]   [2, 32, 32, 25]   
270_l7.tcn1.branches.3.Conv2d_0            [128, 32, 1, 1]   [2, 32, 32, 25]   
271_l7.tcn1.branches.3.BatchNorm2d_1                  [32]   [2, 32, 32, 25]   
272_l7.ReLU_relu                                         -  [2, 128, 32, 25]   
273_l8.gcn1.convs.0.Conv2d_conv1           [128, 16, 1, 1]   [2, 16, 32, 25]   
274_l8.gcn1.convs.0.Conv2d_conv2           [128, 16, 1, 1]   [2, 16, 32, 25]   
275_l8.gcn1.convs.0.Conv2d_conv3          [128, 256, 1, 1]  [2, 256, 32, 25]   
276_l8.gcn1.convs.0.Softmax_softmax                      -      [32, 25, 25]   
277_l8.gcn1.convs.0.Tanh_tanh                            -   [2, 16, 25, 25]   
278_l8.gcn1.convs.0.Conv2d_conv4           [16, 256, 1, 1]  [2, 256, 25, 25]   
279_l8.gcn1.convs.1.Conv2d_conv1           [128, 16, 1, 1]   [2, 16, 32, 25]   
280_l8.gcn1.convs.1.Conv2d_conv2           [128, 16, 1, 1]   [2, 16, 32, 25]   
281_l8.gcn1.convs.1.Conv2d_conv3          [128, 256, 1, 1]  [2, 256, 32, 25]   
282_l8.gcn1.convs.1.Softmax_softmax                      -      [32, 25, 25]   
283_l8.gcn1.convs.1.Tanh_tanh                            -   [2, 16, 25, 25]   
284_l8.gcn1.convs.1.Conv2d_conv4           [16, 256, 1, 1]  [2, 256, 25, 25]   
285_l8.gcn1.convs.2.Conv2d_conv1           [128, 16, 1, 1]   [2, 16, 32, 25]   
286_l8.gcn1.convs.2.Conv2d_conv2           [128, 16, 1, 1]   [2, 16, 32, 25]   
287_l8.gcn1.convs.2.Conv2d_conv3          [128, 256, 1, 1]  [2, 256, 32, 25]   
288_l8.gcn1.convs.2.Softmax_softmax                      -      [32, 25, 25]   
289_l8.gcn1.convs.2.Tanh_tanh                            -   [2, 16, 25, 25]   
290_l8.gcn1.convs.2.Conv2d_conv4           [16, 256, 1, 1]  [2, 256, 25, 25]   
291_l8.gcn1.BatchNorm2d_bn                           [256]  [2, 256, 32, 25]   
292_l8.gcn1.down.Conv2d_0                 [128, 256, 1, 1]  [2, 256, 32, 25]   
293_l8.gcn1.down.BatchNorm2d_1                       [256]  [2, 256, 32, 25]   
294_l8.gcn1.ReLU_relu                                    -  [2, 256, 32, 25]   
295_l8.tcn1.branches.0.Conv2d_0            [256, 64, 1, 1]   [2, 64, 32, 25]   
296_l8.tcn1.branches.0.BatchNorm2d_1                  [64]   [2, 64, 32, 25]   
297_l8.tcn1.branches.0.ReLU_2                            -   [2, 64, 32, 25]   
298_l8.tcn1.branches.0.3.Conv2d_conv        [64, 64, 5, 1]   [2, 64, 16, 25]   
299_l8.tcn1.branches.0.3.BatchNorm2d_bn               [64]   [2, 64, 16, 25]   
300_l8.tcn1.branches.1.Conv2d_0            [256, 64, 1, 1]   [2, 64, 32, 25]   
